transaction_id,date,time,day_of_week,fraud_type,fraud_lure,amount_inr,upi_app,transaction_type,sender_upi_id
TXN933251567391,2025-01-14,08:47:17,Tuesday,Vishing,Prize/Lottery Win,700,PhonePe,P2P,pay7924@ibl
TXN517045625552,2024-03-10,08:24:06,Sunday,Vishing,Job Offer/Part-time Work,3100,BHIM,P2P,txn8428@ibl
TXN726820024292,2023-11-01,17:44:59,Wednesday,OTP Sharing,Electricity Bill Disconnection,1800,PhonePe,Collect Request,txn4483@paytm
TXN615379416985,2023-12-28,08:47:35,Thursday,Fake Collect Request,KYC Update Required,17000,Amazon Pay,P2M,mb5119@apl
TXN757132452561,2023-12-30,18:21:07,Saturday,Vishing,Impersonation of Known Person,500,Google Pay,P2P,txn9005@okaxis
TXN442364508902,2023-12-02,06:56:36,Saturday,Remote Access Scam,Impersonation of Known Person,1500,PhonePe,P2M,acct7118@paytm
TXN960037124392,2023-12-10,10:21:01,Sunday,Fake Collect Request,Refund Processing,2900,PhonePe,P2P,acct7669@oksbi
TXN281403868608,2024-03-28,13:29:55,Thursday,OTP Sharing,Job Offer/Part-time Work,5800,PhonePe,P2P,acct8956@paytm
TXN683482989002,2023-09-16,12:24:16,Saturday,Social Engineering,Prize/Lottery Win,14650,Google Pay,P2M,pay1931@apl
TXN108901504899,2024-11-30,07:55:15,Saturday,QR Code Swap,Job Offer/Part-time Work,87350,PhonePe,P2M,acct2638@okhdfcbank
TXN269879802007,2023-12-28,08:22:56,Thursday,Phishing,Electricity Bill Disconnection,3150,Google Pay,Collect Request,txn5616@oksbi
TXN741535897688,2024-08-30,14:57:58,Friday,Fake UPI App,Prize/Lottery Win,1350,PhonePe,Collect Request,mb3426@axl
TXN960420184902,2024-04-08,21:50:55,Monday,Phishing,Electricity Bill Disconnection,4800,Paytm,P2P,acct5065@ybl
TXN224672594992,2023-05-10,20:14:12,Wednesday,Fake UPI App,Refund Processing,3250,Google Pay,P2P,txn3925@ybl
TXN446273815783,2024-03-19,18:20:27,Tuesday,Fake Collect Request,Delivery Agent Scam,8150,PhonePe,P2M,user5920@apl
TXN910872751961,2024-05-17,17:35:08,Friday,Phishing,KYC Update Required,8100,PhonePe,P2M,pay2389@ybl
TXN567199758169,2023-11-27,17:14:51,Monday,Phishing,Job Offer/Part-time Work,1000,PhonePe,Collect Request,pay3881@apl
TXN403386445743,2023-12-12,21:07:29,Tuesday,Phishing,Loan Offer,4200,Paytm,P2M,mb8939@oksbi
TXN519084398943,2025-03-31,11:17:21,Monday,Vishing,Refund Processing,6150,PhonePe,P2P,acct1096@ibl
TXN804735188129,2024-10-03,18:34:51,Thursday,Fake Collect Request,Loan Offer,2900,Google Pay,P2M,acct3223@paytm
TXN782987331574,2024-04-23,11:29:20,Tuesday,Vishing,Job Offer/Part-time Work,34100,PhonePe,P2P,pay4908@okicici
TXN760068866484,2024-07-20,17:49:23,Saturday,Phishing,Job Offer/Part-time Work,5950,Google Pay,Collect Request,user1672@ibl
TXN394602435240,2023-06-10,14:21:00,Saturday,Fake UPI App,Prize/Lottery Win,11750,PhonePe,P2P,txn5022@okhdfcbank
TXN884458179683,2024-07-19,15:42:24,Friday,Vishing,Loan Offer,7650,PhonePe,Collect Request,acct8342@okaxis
TXN631453260232,2024-05-19,17:19:42,Sunday,Fake Collect Request,Refund Processing,9350,PhonePe,P2M,txn9595@ybl
TXN172250436572,2023-11-19,12:19:00,Sunday,OTP Sharing,Job Offer/Part-time Work,600,PhonePe,Collect Request,acct9056@okhdfcbank
TXN788087209613,2023-08-31,19:19:05,Thursday,Money Mule,Customer Care Impersonation,1350,Google Pay,P2M,pay5335@okhdfcbank
TXN177920311528,2024-10-17,07:00:26,Thursday,QR Code Swap,Prize/Lottery Win,7400,Paytm,P2P,user3718@ybl
TXN732517733550,2023-08-06,13:19:44,Sunday,QR Code Swap,Prize/Lottery Win,4200,PhonePe,P2P,user3870@paytm
TXN950275468961,2023-10-03,23:27:40,Tuesday,Fake UPI App,Loan Offer,80800,Paytm,P2P,acct9431@okaxis
TXN228475055567,2023-05-26,09:23:39,Friday,SIM Swap,KYC Update Required,5400,PhonePe,P2M,acct2924@okicici
TXN747842026084,2025-03-23,10:53:30,Sunday,Money Mule,KYC Update Required,4250,Google Pay,P2P,mb9022@okicici
TXN650298037487,2024-03-19,11:48:34,Tuesday,Vishing,Refund Processing,62350,Paytm,P2P,mb6439@okhdfcbank
TXN778759018230,2024-07-11,01:09:26,Thursday,Fake UPI App,Investment Scheme,54900,Google Pay,P2M,user4846@ybl
TXN743870697885,2023-07-10,18:45:55,Monday,Phishing,Prize/Lottery Win,1100,PhonePe,P2P,pay4804@paytm
TXN425125927992,2025-02-11,00:51:29,Tuesday,Social Engineering,Loan Offer,6300,PhonePe,Collect Request,user7484@ybl
TXN457749775324,2024-01-19,18:14:38,Friday,SIM Swap,Electricity Bill Disconnection,900,Google Pay,Collect Request,acct3877@oksbi
TXN114579586722,2024-09-25,14:17:53,Wednesday,Phishing,KYC Update Required,40800,Google Pay,P2M,txn9791@okhdfcbank
TXN248337633154,2024-11-19,12:40:23,Tuesday,Phishing,Electricity Bill Disconnection,2100,Google Pay,P2M,acct8432@ibl
TXN200737244056,2024-05-29,16:53:31,Wednesday,Fake Collect Request,KYC Update Required,68350,BHIM,Collect Request,pay1349@okaxis
TXN745267002855,2024-10-30,09:53:48,Wednesday,Fake Collect Request,Prize/Lottery Win,6900,PhonePe,Collect Request,txn1258@okicici
TXN637334604519,2024-06-05,14:47:04,Wednesday,QR Code Swap,Investment Scheme,18400,Google Pay,P2M,acct2204@okhdfcbank
TXN540034427145,2023-08-08,10:40:37,Tuesday,Fake Collect Request,Investment Scheme,4450,PhonePe,P2M,acct2557@ibl
TXN158931506885,2024-04-18,22:43:59,Thursday,QR Code Swap,Job Offer/Part-time Work,650,Google Pay,P2M,txn6119@ibl
TXN442576940326,2023-09-06,16:14:54,Wednesday,Phishing,Delivery Agent Scam,16000,PhonePe,P2M,txn6751@okaxis
TXN557165098695,2023-06-11,08:40:01,Sunday,Phishing,Job Offer/Part-time Work,8100,Google Pay,P2M,txn4531@apl
TXN650744131878,2023-07-23,10:43:37,Sunday,QR Code Swap,Delivery Agent Scam,5350,PhonePe,Collect Request,mb6802@okhdfcbank
TXN917376405323,2023-04-20,13:04:55,Thursday,Vishing,Delivery Agent Scam,3650,PhonePe,P2P,txn4630@ibl
TXN722263658623,2025-01-08,08:32:12,Wednesday,Social Engineering,Prize/Lottery Win,5000,PhonePe,P2P,mb6295@ibl
TXN992962570107,2024-07-24,13:19:50,Wednesday,Vishing,Electricity Bill Disconnection,1550,PhonePe,P2P,mb4084@ibl
TXN811379241054,2023-09-02,22:28:06,Saturday,Fake UPI App,Job Offer/Part-time Work,21700,Google Pay,Collect Request,txn2079@ibl
TXN201045089995,2023-12-15,18:42:58,Friday,Fake Collect Request,Customer Care Impersonation,650,BHIM,P2M,acct9331@ibl
TXN949084306678,2023-10-02,22:21:49,Monday,QR Code Swap,Loan Offer,2550,Google Pay,P2M,mb3712@paytm
TXN981325990907,2025-02-21,17:28:39,Friday,Vishing,Prize/Lottery Win,17350,Google Pay,Collect Request,mb3267@ybl
TXN190170799779,2024-10-19,21:45:54,Saturday,QR Code Swap,Impersonation of Known Person,650,PhonePe,P2P,txn4678@okaxis
